domain,condition,split,method,target,metric,value
hairpin,nominal,test,mean,arc_length,coordinate_rmse,1.6491286811828418
hairpin,sparse_connector_gap,train,isomap_graph,control,edge_count,632
hairpin,sparse_connector_gap,train,isomap_graph,control,long_arc_separation_edge_count,0
hairpin,sparse_connector_gap,train,isomap_graph,control,long_arc_separation_edge_rate,0
hairpin,sparse_connector_gap,train,isomap_graph,control,long_arc_separation_threshold,0.69999999999999996
hairpin,sparse_connector_gap,train,isomap_graph,control,long_arc_separation_denominator_edges,632
hairpin,sparse_connector_gap,train,isomap_graph,control,material_path_shortcut_count,0
hairpin,sparse_connector_gap,train,isomap_graph,control,material_path_shortcut_rate,0
hairpin,sparse_connector_gap,train,isomap_graph,control,material_path_shortcut_underestimation_threshold,0.5
hairpin,sparse_connector_gap,train,isomap_graph,control,material_path_shortcut_denominator_edges,632
hairpin,sparse_connector_gap,train,isomap_graph,control,graph_distance_relative_rmse,0.016128953784410198
hairpin,sparse_connector_gap,train,isomap_graph,control,graph_distance_correlation,0.999773733594435
hairpin,sparse_connector_gap,train,isomap_graph,control,component_count,2
hairpin,sparse_connector_gap,train,isomap_graph,control,finite_pair_count,8046
hairpin,sparse_connector_gap,train,isomap_graph,control,infinite_pair_count,8064
hairpin,reduced_branch_separation,train,isomap_graph,control,edge_count,626
hairpin,reduced_branch_separation,train,isomap_graph,control,long_arc_separation_edge_count,80
hairpin,reduced_branch_separation,train,isomap_graph,control,long_arc_separation_edge_rate,0.12779552715654952
hairpin,reduced_branch_separation,train,isomap_graph,control,long_arc_separation_threshold,0.69999999999999996
hairpin,reduced_branch_separation,train,isomap_graph,control,long_arc_separation_denominator_edges,626
hairpin,reduced_branch_separation,train,isomap_graph,control,material_path_shortcut_count,81
hairpin,reduced_branch_separation,train,isomap_graph,control,material_path_shortcut_rate,0.12939297124600638
hairpin,reduced_branch_separation,train,isomap_graph,control,material_path_shortcut_underestimation_threshold,0.5
hairpin,reduced_branch_separation,train,isomap_graph,control,material_path_shortcut_denominator_edges,626
hairpin,reduced_branch_separation,train,isomap_graph,control,graph_distance_relative_rmse,0.67882070852798571
hairpin,reduced_branch_separation,train,isomap_graph,control,graph_distance_correlation,0.30232947959354872
hairpin,reduced_branch_separation,train,isomap_graph,control,component_count,1
hairpin,reduced_branch_separation,train,isomap_graph,control,finite_pair_count,16110
hairpin,reduced_branch_separation,train,isomap_graph,control,infinite_pair_count,0
hairpin,reduced_branch_separation,train,isomap,mds,negative_eigenmass,5.5253921102699
hairpin,reduced_branch_separation,train,isomap,mds,strain,0.035046776614391005
hairpin,nonuniform_sampling,train,isomap_graph,control,edge_count,630
hairpin,nonuniform_sampling,train,isomap_graph,control,long_arc_separation_edge_count,1
hairpin,nonuniform_sampling,train,isomap_graph,control,long_arc_separation_edge_rate,0.0015873015873015873
hairpin,nonuniform_sampling,train,isomap_graph,control,long_arc_separation_threshold,0.69999999999999996
hairpin,nonuniform_sampling,train,isomap_graph,control,long_arc_separation_denominator_edges,630
hairpin,nonuniform_sampling,train,isomap_graph,control,material_path_shortcut_count,1
hairpin,nonuniform_sampling,train,isomap_graph,control,material_path_shortcut_rate,0.0015873015873015873
hairpin,nonuniform_sampling,train,isomap_graph,control,material_path_shortcut_underestimation_threshold,0.5
hairpin,nonuniform_sampling,train,isomap_graph,control,material_path_shortcut_denominator_edges,630
hairpin,nonuniform_sampling,train,isomap_graph,control,graph_distance_relative_rmse,0.28506788033934355
hairpin,nonuniform_sampling,train,isomap_graph,control,graph_distance_correlation,0.96685274940190802
hairpin,nonuniform_sampling,train,isomap_graph,control,component_count,2
hairpin,nonuniform_sampling,train,isomap_graph,control,finite_pair_count,14251
hairpin,nonuniform_sampling,train,isomap_graph,control,infinite_pair_count,1859
hairpin,disconnected_small_k,train,isomap_graph,control,edge_count,123
hairpin,disconnected_small_k,train,isomap_graph,control,long_arc_separation_edge_count,0
hairpin,disconnected_small_k,train,isomap_graph,control,long_arc_separation_edge_rate,0
hairpin,disconnected_small_k,train,isomap_graph,control,long_arc_separation_threshold,0.69999999999999996
hairpin,disconnected_small_k,train,isomap_graph,control,long_arc_separation_denominator_edges,123
hairpin,disconnected_small_k,train,isomap_graph,control,material_path_shortcut_count,0
hairpin,disconnected_small_k,train,isomap_graph,control,material_path_shortcut_rate,0
