dt,sigma,replicate,model,output,feature,coefficient,true_coefficient
0.025,0.02,4,affine,dy,x2y,0,-1
0.025,0.02,4,affine,dy,xy2,0,0
0.025,0.02,4,affine,dy,y3,0,-1
0.025,0.02,4,permuted,dx,1,-0.007126600008,0
0.025,0.02,4,permuted,dx,x,0.214879236405,1
0.025,0.02,4,permuted,dx,y,-0.195295676197,-2
0.025,0.02,4,permuted,dx,x2,-0.134473219007,0
0.025,0.02,4,permuted,dx,xy,-0.0191527996104,0
0.025,0.02,4,permuted,dx,y2,-0.0485134635068,0
0.025,0.02,4,permuted,dx,x3,-0.190109320962,-1
0.025,0.02,4,permuted,dx,x2y,0.0755244121706,0
0.025,0.02,4,permuted,dx,xy2,-0.104232282397,-1
0.025,0.02,4,permuted,dx,y3,0.27443573621,0
0.025,0.02,4,permuted,dy,1,0.131013443189,0
0.025,0.02,4,permuted,dy,x,0.190088429915,2
0.025,0.02,4,permuted,dy,y,0.0776960897796,1
0.025,0.02,4,permuted,dy,x2,-0.064805206937,0
0.025,0.02,4,permuted,dy,xy,0.0194573409027,0
0.025,0.02,4,permuted,dy,y2,-0.153030668223,0
0.025,0.02,4,permuted,dy,x3,-0.165829578806,0
0.025,0.02,4,permuted,dy,x2y,-0.112904301463,-1
0.025,0.02,4,permuted,dy,xy2,-0.316653381455,0
0.025,0.02,4,permuted,dy,y3,-0.0515779072521,-1
0.025,0.02,5,cubic,dx,1,0.00987533816924,0
0.025,0.02,5,cubic,dx,x,0.975594617665,1
0.025,0.02,5,cubic,dx,y,-2.01339657219,-2
0.025,0.02,5,cubic,dx,x2,-0.0112789218636,0
0.025,0.02,5,cubic,dx,xy,0.00328846755148,0
0.025,0.02,5,cubic,dx,y2,-0.00858391979109,0
0.025,0.02,5,cubic,dx,x3,-0.975933570126,-1
0.025,0.02,5,cubic,dx,x2y,0.00435620584597,0
0.025,0.02,5,cubic,dx,xy2,-0.969900561744,-1
0.025,0.02,5,cubic,dx,y3,0.0176422095868,0
0.025,0.02,5,cubic,dy,1,0.00867355533672,0
0.025,0.02,5,cubic,dy,x,1.98802948897,2
0.025,0.02,5,cubic,dy,y,0.984044507328,1
0.025,0.02,5,cubic,dy,x2,-0.00915776816032,0
0.025,0.02,5,cubic,dy,xy,-0.000678295799931,0
0.025,0.02,5,cubic,dy,y2,-0.0105742073515,0
0.025,0.02,5,cubic,dy,x3,0.0084547713878,0
0.025,0.02,5,cubic,dy,x2y,-0.99029840395,-1
0.025,0.02,5,cubic,dy,xy2,0.0288367305747,0
0.025,0.02,5,cubic,dy,y3,-0.984348349935,-1
0.025,0.02,5,affine,dx,1,0.00482616996451,0
0.025,0.02,5,affine,dx,x,0.0212009940221,1
0.025,0.02,5,affine,dx,y,-1.99828872647,-2
0.025,0.02,5,affine,dx,x2,0,0
0.025,0.02,5,affine,dx,xy,0,0
0.025,0.02,5,affine,dx,y2,0,0
0.025,0.02,5,affine,dx,x3,0,-1
0.025,0.02,5,affine,dx,x2y,0,0
0.025,0.02,5,affine,dx,xy2,0,-1
0.025,0.02,5,affine,dx,y3,0,0
0.025,0.02,5,affine,dy,1,0.0194449154341,0
0.025,0.02,5,affine,dy,x,2.00221434516,2
0.025,0.02,5,affine,dy,y,0.0154003386598,1
0.025,0.02,5,affine,dy,x2,0,0
0.025,0.02,5,affine,dy,xy,0,0
0.025,0.02,5,affine,dy,y2,0,0
0.025,0.02,5,affine,dy,x3,0,0
0.025,0.02,5,affine,dy,x2y,0,-1
0.025,0.02,5,affine,dy,xy2,0,0
0.025,0.02,5,affine,dy,y3,0,-1
0.025,0.02,5,permuted,dx,1,-0.0962247998624,0
0.025,0.02,5,permuted,dx,x,-0.251571646777,1
0.025,0.02,5,permuted,dx,y,0.130155157465,-2
0.025,0.02,5,permuted,dx,x2,-0.00372788912763,0
0.025,0.02,5,permuted,dx,xy,0.00949277442806,0
0.025,0.02,5,permuted,dx,y2,0.00747301706679,0
0.025,0.02,5,permuted,dx,x3,0.243069872945,-1
0.025,0.02,5,permuted,dx,x2y,-0.140582941835,0
0.025,0.02,5,permuted,dx,xy2,0.122731730459,-1
0.025,0.02,5,permuted,dx,y3,-0.130368869874,0
0.025,0.02,5,permuted,dy,1,-0.0651318776541,0
0.025,0.02,5,permuted,dy,x,-0.0458014250107,2
0.025,0.02,5,permuted,dy,y,-0.143655406453,1
0.025,0.02,5,permuted,dy,x2,0.103146659692,0
0.025,0.02,5,permuted,dy,xy,0.125469259507,0
0.025,0.02,5,permuted,dy,y2,0.113639580945,0
0.025,0.02,5,permuted,dy,x3,0.0565247125911,0
0.025,0.02,5,permuted,dy,x2y,0.182998547396,-1
0.025,0.02,5,permuted,dy,xy2,0.0161453480785,0
0.025,0.02,5,permuted,dy,y3,0.18538082878,-1
0.025,0.02,6,cubic,dx,1,-0.0124726713492,0
0.025,0.02,6,cubic,dx,x,0.987591520214,1
0.025,0.02,6,cubic,dx,y,-1.98215708028,-2
0.025,0.02,6,cubic,dx,x2,0.0116008633195,0
0.025,0.02,6,cubic,dx,xy,0.0037282342551,0
0.025,0.02,6,cubic,dx,y2,0.0137018265073,0
0.025,0.02,6,cubic,dx,x3,-0.992188201429,-1
0.025,0.02,6,cubic,dx,x2y,-0.0407247052232,0
0.025,0.02,6,cubic,dx,xy2,-0.975041053311,-1
0.025,0.02,6,cubic,dx,y3,-0.00738191283342,0
0.025,0.02,6,cubic,dy,1,0.00140277300522,0
0.025,0.02,6,cubic,dy,x,2.00644459664,2
0.025,0.02,6,cubic,dy,y,1.0038921643,1
0.025,0.02,6,cubic,dy,x2,-0.0040712124745,0
0.025,0.02,6,cubic,dy,xy,-0.000561505834946,0
0.025,0.02,6,cubic,dy,y2,-0.000490963105977,0
0.025,0.02,6,cubic,dy,x3,-0.00990711066341,0
0.025,0.02,6,cubic,dy,x2y,-0.993172450884,-1
0.025,0.02,6,cubic,dy,xy2,0.0149714276553,0
0.025,0.02,6,cubic,dy,y3,-1.01108293605,-1
0.025,0.02,6,affine,dx,1,0.00437838221737,0
0.025,0.02,6,affine,dx,x,0.0187422511854,1
0.025,0.02,6,affine,dx,y,-1.99692161155,-2
0.025,0.02,6,affine,dx,x2,0,0
0.025,0.02,6,affine,dx,xy,0,0
0.025,0.02,6,affine,dx,y2,0,0
0.025,0.02,6,affine,dx,x3,0,-1
0.025,0.02,6,affine,dx,x2y,0,0
0.025,0.02,6,affine,dx,xy2,0,-1
0.025,0.02,6,affine,dx,y3,0,0
0.025,0.02,6,affine,dy,1,0.0188540578905,0
0.025,0.02,6,affine,dy,x,2.00425614493,2
0.025,0.02,6,affine,dy,y,0.015262499216,1
0.025,0.02,6,affine,dy,x2,0,0
0.025,0.02,6,affine,dy,xy,0,0
0.025,0.02,6,affine,dy,y2,0,0
0.025,0.02,6,affine,dy,x3,0,0
0.025,0.02,6,affine,dy,x2y,0,-1
0.025,0.02,6,affine,dy,xy2,0,0
0.025,0.02,6,affine,dy,y3,0,-1
0.025,0.02,6,permuted,dx,1,-0.136051493145,0
0.025,0.02,6,permuted,dx,x,0.029410011456,1
0.025,0.02,6,permuted,dx,y,-0.187909308564,-2
0.025,0.02,6,permuted,dx,x2,0.0860865345388,0
0.025,0.02,6,permuted,dx,xy,-0.109198891976,0
0.025,0.02,6,permuted,dx,y2,0.0204669908946,0
0.025,0.02,6,permuted,dx,x3,-0.0915562277177,-1
0.025,0.02,6,permuted,dx,x2y,0.238622967744,0
0.025,0.02,6,permuted,dx,xy2,0.138235137407,-1
0.025,0.02,6,permuted,dx,y3,0.133278692511,0
0.025,0.02,6,permuted,dy,1,0.0202951253255,0
0.025,0.02,6,permuted,dy,x,0.236103498122,2
0.025,0.02,6,permuted,dy,y,0.0296611492556,1
0.025,0.02,6,permuted,dy,x2,-0.0457162259241,0
0.025,0.02,6,permuted,dy,xy,-0.0182417462555,0
0.025,0.02,6,permuted,dy,y2,0.0667769678753,0
0.025,0.02,6,permuted,dy,x3,-0.216755215631,0
0.025,0.02,6,permuted,dy,x2y,-0.0309590431278,-1
0.025,0.02,6,permuted,dy,xy2,-0.207510572782,0
0.025,0.02,6,permuted,dy,y3,0.00992783216732,-1
0.025,0.02,7,cubic,dx,1,-0.00641256843999,0
0.025,0.02,7,cubic,dx,x,1.01416931119,1
0.025,0.02,7,cubic,dx,y,-2.00807882506,-2
0.025,0.02,7,cubic,dx,x2,0.00791075596702,0
0.025,0.02,7,cubic,dx,xy,-0.00872684566265,0
0.025,0.02,7,cubic,dx,y2,0.00309825165831,0
0.025,0.02,7,cubic,dx,x3,-1.01080907556,-1
0.025,0.02,7,cubic,dx,x2y,0.0263647913641,0
0.025,0.02,7,cubic,dx,xy2,-1.0193502912,-1
0.025,0.02,7,cubic,dx,y3,0.00742228625714,0
0.025,0.02,7,cubic,dy,1,-0.000781297664294,0
0.025,0.02,7,cubic,dy,x,1.99451127816,2
