dt,sigma,replicate,split,model,unit,metric,value
0.025,0,0,test,cubic,traj_015,rollout_failure,0
0.025,0,0,test,cubic,traj_016,one_step_rmse,1.44862858435e-05
0.025,0,0,test,cubic,traj_016,oracle_rollout_rmse,0.00040736103804
0.025,0,0,test,cubic,traj_016,observed_rollout_rmse,0.000851670761652
0.025,0,0,test,cubic,traj_016,oracle_radial_rmse,0.000187709518983
0.025,0,0,test,cubic,traj_016,observed_radial_rmse,0.000185759404915
0.025,0,0,test,cubic,traj_016,one_step_failure_rate,0
0.025,0,0,test,cubic,traj_016,oracle_rollout_failure,0
0.025,0,0,test,cubic,traj_016,observed_rollout_failure,0
0.025,0,0,test,cubic,traj_016,oracle_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_016,observed_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_016,rollout_failure,0
0.025,0,0,test,cubic,traj_017,one_step_rmse,1.30396937603e-05
0.025,0,0,test,cubic,traj_017,oracle_rollout_rmse,0.000439157068112
0.025,0,0,test,cubic,traj_017,observed_rollout_rmse,0.000879831618086
0.025,0,0,test,cubic,traj_017,oracle_radial_rmse,0.000183296636293
0.025,0,0,test,cubic,traj_017,observed_radial_rmse,0.000184806046138
0.025,0,0,test,cubic,traj_017,one_step_failure_rate,0
0.025,0,0,test,cubic,traj_017,oracle_rollout_failure,0
0.025,0,0,test,cubic,traj_017,observed_rollout_failure,0
0.025,0,0,test,cubic,traj_017,oracle_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_017,observed_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_017,rollout_failure,0
0.025,0,0,test,cubic,traj_018,one_step_rmse,1.77700702629e-05
0.025,0,0,test,cubic,traj_018,oracle_rollout_rmse,0.00121907854722
0.025,0,0,test,cubic,traj_018,observed_rollout_rmse,0.000989916640532
0.025,0,0,test,cubic,traj_018,oracle_radial_rmse,0.000311498943154
0.025,0,0,test,cubic,traj_018,observed_radial_rmse,0.000357953974602
0.025,0,0,test,cubic,traj_018,one_step_failure_rate,0
0.025,0,0,test,cubic,traj_018,oracle_rollout_failure,0
0.025,0,0,test,cubic,traj_018,observed_rollout_failure,0
0.025,0,0,test,cubic,traj_018,oracle_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_018,observed_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_018,rollout_failure,0
0.025,0,0,test,cubic,traj_019,one_step_rmse,2.83539262472e-05
0.025,0,0,test,cubic,traj_019,oracle_rollout_rmse,0.00250373496084
0.025,0,0,test,cubic,traj_019,observed_rollout_rmse,0.00209238751274
0.025,0,0,test,cubic,traj_019,oracle_radial_rmse,0.000583885371585
0.025,0,0,test,cubic,traj_019,observed_radial_rmse,0.000617758961616
0.025,0,0,test,cubic,traj_019,one_step_failure_rate,0
0.025,0,0,test,cubic,traj_019,oracle_rollout_failure,0
0.025,0,0,test,cubic,traj_019,observed_rollout_failure,0
0.025,0,0,test,cubic,traj_019,oracle_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_019,observed_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_019,rollout_failure,0
0.025,0,0,test,cubic,traj_020,one_step_rmse,1.25435116292e-05
0.025,0,0,test,cubic,traj_020,oracle_rollout_rmse,0.000347650548075
0.025,0,0,test,cubic,traj_020,observed_rollout_rmse,0.000640532240709
0.025,0,0,test,cubic,traj_020,oracle_radial_rmse,0.000185832195697
0.025,0,0,test,cubic,traj_020,observed_radial_rmse,0.00018472032382
0.025,0,0,test,cubic,traj_020,one_step_failure_rate,0
0.025,0,0,test,cubic,traj_020,oracle_rollout_failure,0
0.025,0,0,test,cubic,traj_020,observed_rollout_failure,0
0.025,0,0,test,cubic,traj_020,oracle_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_020,observed_pre_failure_horizon,7.7
0.025,0,0,test,cubic,traj_020,rollout_failure,0
0.025,0,0,test,cubic,traj_021,one_step_rmse,2.20877309769e-05
