split,condition,parameter_source,method,inference_target,region,metric,value
test,missing_block,baseline,persistence,point_state,outside_missing_block,latent_rmse,0.61360384583799954
test,missing_block,known_true,open_loop,point_state,all,latent_rmse,0.61107230574852744
test,missing_block,known_true,open_loop,point_state,inside_missing_block,latent_rmse,0.68664322880226858
test,missing_block,known_true,open_loop,point_state,outside_missing_block,latent_rmse,0.59226508063828298
test,missing_block,known_true,kalman_filter,one_step_observation,observed,predictive_nll,1.115170846575019
test,missing_block,known_true,kalman_filter,innovation,observed,innovation_mean,-0.021528565256841246
test,missing_block,known_true,kalman_filter,innovation,observed,innovation_variance,0.90127716586184148
test,missing_block,known_true,kalman_filter,innovation,observed,innovation_lag1,-0.041685861833570426
test,correct_model,known_true,oracle_check,posterior_marginal,short_sequence,filter_batch_mean_max_abs,1.9428902930940239e-16
test,correct_model,known_true,oracle_check,posterior_marginal,short_sequence,filter_batch_variance_max_abs,2.7755575615628914e-17
test,correct_model,known_true,oracle_check,posterior_marginal,short_sequence,rts_batch_mean_max_abs,2.3592239273284576e-16
test,correct_model,known_true,oracle_check,posterior_marginal,short_sequence,rts_batch_variance_max_abs,1.3877787807814457e-16
test,correct_model,known_true,oracle_check,posterior_marginal,short_sequence,smoother_minus_filter_variance_max,0
test,correct_model,known_true,oracle_check,posterior_marginal,short_sequence,causal_prefix_length,13
test,correct_model,known_true,oracle_check,posterior_marginal,short_sequence,causal_prefix_change_max_abs,0
test,correct_model,known_true,oracle_check,posterior_marginal,short_sequence,batch_covariance_symmetry_max_abs,0
test,correct_model,known_true,oracle_check,posterior_marginal,short_sequence,batch_covariance_min_eigenvalue,0.027336938992874333
test,reset_boundary_negative_control,intentionally_wrong_continuation,kalman_filter,online_state,boundary,boundary_prediction_from_previous_sequence,-0.8723558714112597
test,reset_boundary_negative_control,intentionally_wrong_continuation,kalman_filter,online_state,boundary,correct_reset_prior_mean,0
test,reset_boundary_negative_control,intentionally_wrong_continuation,kalman_filter,online_state,boundary,first_state_estimate_abs_difference,0.76641714231670743
test,reset_boundary_negative_control,intentionally_wrong_continuation,kalman_filter,online_state,boundary,first_8_wrong_rmse,0.38277115251558186
test,reset_boundary_negative_control,intentionally_wrong_continuation,kalman_filter,online_state,boundary,first_8_proper_rmse,0.33353531205313008
test,reset_boundary_negative_control,intentionally_wrong_continuation,kalman_filter,online_state,boundary,artificial_continuity_abs,0.8723558714112597
stress,near_unit_root,known_stress,kalman_filter,numerical_stress,all,stationary_prior_variance,1.0050251256281393
stress,near_unit_root,known_stress,kalman_filter,numerical_stress,all,max_filter_variance,0.28612303290414864
stress,near_unit_root,known_stress,rts_smoother,numerical_stress,all,max_smoother_variance,0.077201387794439802
stress,near_unit_root,known_stress,kalman_filter,numerical_stress,all,tight_vs_stationary_first_20_mean_max_abs,1.0643200522135612
